match_id,innings,batter,entry_seq,exit_seq,balls_faced,runs_scored,pp_balls,mid_balls,death_balls
1082605,1,PJ Cummins,115,125,6,12,0,0,6
1082605,1,RR Pant,78,95,9,15,0,9,0
1082605,1,SS Iyer,48,75,16,21,0,16,0
1082605,1,SV Samson,1,42,18,19,15,3,0
1082605,1,SW Billings,7,81,39,55,21,18,0
1082605,2,AR Patel,66,121,29,44,0,17,12
1082605,2,DA Miller,29,83,28,24,3,25,0
1082605,2,EJG Morgan,21,61,20,22,10,10,0
1082605,2,GJ Maxwell,63,64,2,0,0,2,0
1082605,2,HM Amla,3,28,12,19,12,0,0
1082605,2,KC Cariappa,115,116,2,1,0,0,2
1082605,2,M Vohra,1,10,6,3,6,0,0
1082605,2,MM Sharma,84,114,14,13,0,6,8
1082605,2,Sandeep Sharma,117,119,2,2,0,0,2
1082605,2,WP Saha,11,20,5,7,5,0,0
1082606,1,BB McCullum,5,84,44,64,22,22,0
1082606,1,DR Smith,2,3,2,0,2,0,0
1082606,1,Ishan Kishan,71,111,14,11,0,10,4
1082606,1,JJ Roy,113,125,7,14,0,0,7
1082606,1,KD Karthik,86,126,25,44,0,12,13
1082606,1,SK Raina,4,69,28,24,12,16,0
1082606,2,HH Pandya,117,121,3,6,0,0,3
1082606,2,JC Buttler,13,73,24,26,11,13,0
1082606,2,KA Pollard,74,116,23,39,0,15,8
1082606,2,N Rana,3,62,36,53,23,13,0
1082606,2,PA Patel,1,2,2,0,2,0,0
1082606,2,RG Sharma,63,125,29,40,0,19,10
1082607,1,AM Rahane,1,48,25,30,18,7,0
1082607,1,BA Stokes,104,108,3,2,0,0,3
1082607,1,DT Christian,103,106,3,1,0,0,3
1082607,1,JD Unadkat,110,123,5,2,0,0,5
1082607,1,MK Tiwary,113,126,11,27,0,0,11
1082607,1,MS Dhoni,53,101,25,28,0,25,0
1082607,1,RA Tripathi,5,52,23,31,18,5,0
1082607,1,SN Thakur,109,109,1,0,0,0,1
1082607,1,SPD Smith,49,102,24,27,0,23,1
1082607,2,AB de Villiers,12,64,30,29,14,16,0
1082607,2,AF Milne,111,121,3,2,0,0,3
1082607,2,KM Jadhav,39,93,22,18,0,22,0
1082607,2,Mandeep Singh,5,11,3,0,3,0,0
1082607,2,P Negi,100,109,7,10,0,1,6
1082607,2,S Aravind,115,123,7,6,0,0,7
1082607,2,S Badree,114,114,1,0,0,0,1
1082607,2,SR Watson,65,99,18,14,0,18,0
1082607,2,STR Binny,94,112,8,18,0,3,5
1082607,2,V Kohli,1,33,19,28,19,0,0
1082607,2,YS Chahal,122,124,2,1,0,0,2
1082608,1,AD Mathews,93,104,4,1,0,2,2
1082608,1,CH Morris,105,121,9,16,0,0,9
1082608,1,KK Nair,38,90,27,21,0,27,0
1082608,1,Mohammed Shami,122,122,1,0,0,0,1
1082608,1,PJ Cummins,112,118,4,3,0,0,4
1082608,1,RR Pant,81,111,16,38,0,8,8
1082608,1,SS Iyer,48,80,17,26,0,17,0
1082608,1,SV Samson,1,47,25,39,20,5,0
1082608,1,SW Billings,5,37,17,21,16,1,0
1082608,2,C de Grandhomme,3,5,2,1,2,0,0
1082608,2,CR Woakes,112,120,5,3,0,0,5
1082608,2,G Gambhir,1,17,12,14,12,0,0
1082608,2,MK Pandey,14,123,49,69,9,28,12
1082608,2,RV Uthappa,11,12,2,4,2,0,0
1082608,2,SA Yadav,94,111,9,7,0,4,5
1082608,2,SP Narine,121,121,1,1,0,0,1
1082608,2,YK Pathan,19,92,39,59,11,28,0
1082609,1,DA Warner,1,124,54,70,16,27,11
1082609,1,DJ Hooda,98,117,10,12,0,1,9
1082609,1,MC Henriques,34,57,16,9,5,11,0
1082609,1,Mohammad Nabi,120,122,3,2,0,0,3
1082609,1,NV Ojha,59,97,20,34,0,20,0
1082609,1,Rashid Khan,125,125,1,6,0,0,1
1082609,1,S Dhawan,5,32,15,15,15,0,0
1082609,1,Yuvraj Singh,58,58,1,0,0,1,0
1082609,2,AR Patel,65,84,12,7,0,12,0
1082609,2,DA Miller,52,60,6,1,0,6,0
1082609,2,EJG Morgan,21,51,17,13,8,9,0
1082609,2,GJ Maxwell,2,17,12,10,12,0,0
1082609,2,HM Amla,1,1,1,0,1,0,0
1082609,2,I Sharma,113,124,5,2,0,0,5
1082609,2,KC Cariappa,104,112,5,1,0,0,5
1082609,2,M Vohra,7,114,50,95,15,28,7
1082609,2,MM Sharma,87,101,5,10,0,3,2
1082609,2,Sandeep Sharma,118,121,3,4,0,0,3
1082609,2,WP Saha,61,62,2,0,0,2,0
1082610,1,CH Gayle,1,78,38,77,11,27,0
1082610,1,KM Jadhav,99,123,16,38,0,1,15
1082610,1,TM Head,79,119,16,30,0,7,9
1082610,1,V Kohli,2,98,50,64,25,25,0
1082610,2,AJ Finch,33,63,15,19,4,11,0
1082610,2,AJ Tye,112,125,6,6,0,0,6
1082610,2,BB McCullum,3,93,44,72,20,24,0
1082610,2,Basil Thampi,126,126,1,0,0,0,1
1082610,2,DR Smith,1,8,4,1,4,0,0
1082610,2,Ishan Kishan,96,124,16,39,0,3,13
1082610,2,KD Karthik,64,71,4,1,0,4,0
1082610,2,RA Jadeja,74,111,22,23,0,18,4
1082610,2,SK Raina,11,25,8,23,8,0,0
1082611,1,DA Warner,4,12,6,3,6,0,0
1082611,1,DJ Hooda,114,120,4,9,0,0,4
1082611,1,KS Williamson,14,100,50,89,14,35,1
1082611,1,MC Henriques,115,123,6,12,0,0,6
1082611,1,S Dhawan,2,112,50,70,16,25,9
1082611,1,Yuvraj Singh,104,113,4,3,0,0,4
1082611,2,AD Mathews,82,121,23,31,0,9,14
1082611,2,KK Nair,12,54,23,33,15,8,0
1082611,2,RR Pant,60,60,1,0,0,1,0
1082611,2,SS Iyer,61,122,31,50,0,21,10
1082611,2,SV Samson,1,80,33,42,12,21,0
1082611,2,SW Billings,3,11,9,13,9,0,0
1082612,1,AR Patel,113,126,5,4,0,0,5
1082612,1,GJ Maxwell,70,103,17,36,0,15,2
1082612,1,HM Amla,1,127,59,102,14,31,14
1082612,1,MP Stoinis,104,108,3,1,0,0,3
1082612,1,SE Marsh,2,35,21,26,21,0,0
1082612,1,WP Saha,36,67,15,11,1,14,0
1082612,2,HH Pandya,88,95,4,15,0,4,0
1082612,2,JC Buttler,2,83,37,77,17,20,0
1082612,2,N Rana,38,98,34,62,1,33,0
1082612,2,PA Patel,1,37,18,37,18,0,0
1082613,1,G Gambhir,7,70,28,33,11,17,0
1082613,1,MK Pandey,74,118,21,24,0,12,9
1082613,1,RV Uthappa,24,111,48,72,8,31,9
1082613,1,SA Yadav,119,119,1,1,0,0,1
1082613,1,SP Narine,1,20,17,42,17,0,0
1082613,1,Shakib Al Hasan,121,121,1,1,0,0,1
1082613,1,YK Pathan,113,120,4,11,0,0,4
1082613,2,AJ Finch,1,22,14,31,14,0,0
1082613,2,BB McCullum,3,39,17,33,16,1,0
1082613,2,DR Smith,72,77,4,5,0,4,0
1082613,2,Ishan Kishan,46,71,11,4,0,11,0
1082613,2,JP Faulkner,109,110,2,4,0,0,2
1082613,2,KD Karthik,41,45,3,3,0,3,0
1082613,2,RA Jadeja,78,111,13,19,0,9,4
1082613,2,SK Raina,26,108,46,84,6,32,8
1082614,1,HH Pandya,83,124,22,24,0,7,15
1082614,1,Harbhajan Singh,112,119,2,2,0,0,2
1082614,1,JC Buttler,3,34,18,28,18,0,0
1082614,1,KA Pollard,49,109,29,26,0,26,3
1082614,1,KH Pandya,54,82,16,17,0,16,0
1082614,1,MG Johnson,125,127,3,7,0,0,3
1082614,1,MJ McClenaghan,123,123,1,1,0,0,1
1082614,1,N Rana,33,48,9,8,2,7,0
1082614,1,PA Patel,1,28,11,8,11,0,0
1082614,1,RG Sharma,36,53,9,5,5,4,0
1082614,2,AP Tare,4,4,1,0,1,0,0
1082614,2,CH Morris,42,123,41,52,0,29,12
1082614,2,CJ Anderson,22,25,3,0,3,0,0
1082614,2,K Rabada,36,116,39,44,3,29,7
1082614,2,KK Nair,7,41,15,5,13,2,0
1082614,2,PJ Cummins,117,125,5,4,0,0,5
1082614,2,RR Pant,32,34,3,0,3,0,0
1082614,2,SS Iyer,9,21,7,6,7,0,0
1082614,2,SV Samson,1,8,6,9,6,0,0
1082615,1,DA Warner,1,103,39,37,15,23,1
1082615,1,DJ Hooda,104,121,10,19,0,0,10
1082615,1,KS Williamson,55,77,14,21,0,14,0
1082615,1,MC Henriques,78,124,28,55,0,15,13
1082615,1,S Dhawan,2,51,29,30,21,8,0
1082615,2,AM Rahane,1,19,7,2,7,0,0
1082615,2,BA Stokes,80,97,9,10,0,8,1
1082615,2,MK Tiwary,99,119,8,17,0,0,8
1082615,2,MS Dhoni,66,121,34,61,0,19,15
1082615,2,RA Tripathi,5,76,41,59,26,15,0
1082615,2,SPD Smith,23,65,21,27,3,18,0
1082616,1,AR Patel,87,113,17,34,0,7,10
1082616,1,GJ Maxwell,57,86,18,31,0,18,0
1082616,1,HM Amla,2,84,40,65,18,22,0
1082616,1,M Vohra,1,8,4,2,4,0,0
1082616,1,MM Sharma,114,118,3,4,0,0,3
1082616,1,MP Stoinis,89,108,9,7,0,3,6
1082616,1,SE Marsh,9,56,24,30,14,10,0
1082616,1,WP Saha,115,121,5,10,0,0,5
1082616,2,AD Nath,80,80,1,0,0,1,0
1082616,2,AJ Finch,7,34,12,13,12,0,0
1082616,2,AJ Tye,81,101,12,22,0,10,2
1082616,2,BB McCullum,1,6,6,6,6,0,0
1082616,2,Basil Thampi,102,123,10,11,0,0,10
1082616,2,DR Smith,76,79,4,4,0,4,0
1082616,2,KD Karthik,35,124,44,58,2,30,12
1082616,2,RA Jadeja,59,73,7,9,0,7,0
