player,match_id,impact_score_0_100,rolling_im_last10,rank_in_last10_old_to_new
Mukesh Choudhary,1473454,20.942167688388157,34.47791552370865,9
Mukesh Choudhary,1473459,41.373838204759146,34.76191425420466,10
Mukesh Kumar,1473454,76.1127162355809,47.80407168051212,1
Mukesh Kumar,1473461,45.47948187399133,48.728428754160625,2
Mukesh Kumar,1473466,44.04757664955712,49.96029751531483,3
Mukesh Kumar,1473469,50.78992524198166,51.620163977174045,4
Mukesh Kumar,1473472,55.29787739894618,53.3607430739849,5
Mukesh Kumar,1473477,34.605871537782185,50.33372333423967,6
Mukesh Kumar,1473483,23.556981525405867,45.350214711526796,7
Mukesh Kumar,1473485,52.94497632523467,45.96607251355712,8
Mukesh Kumar,1473501,19.799500474469315,40.467375488573225,9
Mukesh Kumar,1485779,22.09320420466041,35.89245372214785,10
Musheer Khan,1473508,28.561595469580723,28.561595469580723,1
Mustafizur Rahman,1422131,65.56577633281987,47.595260053729405,1
Mustafizur Rahman,1426260,54.86201936570539,49.72922973238315,2
Mustafizur Rahman,1426267,24.664919098740373,45.79663438350378,3
Mustafizur Rahman,1426272,38.25369497236194,44.36310101721162,4
Mustafizur Rahman,1426277,15.069498286948033,38.79497451530643,5
Mustafizur Rahman,1426284,62.40888180631791,42.647398297566056,6
Mustafizur Rahman,1426287,56.485261557618976,45.46470506105567,7
Mustafizur Rahman,1473498,72.88535676317765,50.23684256087197,8
Mustafizur Rahman,1473501,54.61273696289182,51.09512427647643,9
Mustafizur Rahman,1485779,57.77283863420973,52.724051609807724,10
N Burger,1422122,24.80805567124751,24.80805567124751,1
N Burger,1422127,35.872526081919005,30.631461150548297,2
N Burger,1422132,29.985581077645865,30.413814477174437,3
N Burger,1422137,55.62534866023905,37.84589160750846,4
N Burger,1426299,52.47139915452532,41.629569867737246,5
N Jagadeesan,1216521,50.03101365281608,50.03101365281608,1
N Jagadeesan,1216525,38.0349746246342,43.71730890114141,2
N Jagadeesan,1304108,35.48969636623488,40.64666090765131,3
N Jagadeesan,1304114,45.54201464241839,42.038950184914235,4
N Jagadeesan,1359487,43.67786685874402,42.425131889710514,5
N Jagadeesan,1359493,72.53095044558538,49.100871419987264,6
N Jagadeesan,1359496,40.41043199489655,47.51708198485631,7
N Jagadeesan,1359507,48.60586129920146,47.85920541662778,8
N Jagadeesan,1359510,34.98691209715969,45.63379616206871,9
N Jagadeesan,1359513,49.53473365021895,46.368411041312896,10
N Pooran,1473456,71.50775179665673,77.98438312343698,1
N Pooran,1473463,41.486071318027136,71.76350800641991,2
N Pooran,1473467,49.34321064257854,66.93750742292488,3
N Pooran,1473473,60.65016604419501,64.25892046679934,4
N Pooran,1473477,63.36627676474542,62.33094669713083,5
N Pooran,1473482,75.53030189009293,63.280681554530126,6
N Pooran,1473491,55.59129506086819,61.05004604497778,7
N Pooran,1473499,51.27269933447266,58.84164231133776,8
N Pooran,1473502,91.9696878301594,64.91864195265035,9
N Pooran,1473507,49.0610360536642,62.41421085111722,10
N Rana,1473443,62.51989412293519,52.35807783906835,1
N Rana,1473448,100.0,61.87897766468438,2
N Rana,1473455,65.9545378252406,64.4138112514317,3
N Rana,1473460,48.60586129920146,63.20053139393166,4
N Rana,1473465,59.09225332236692,63.61602764370487,5
N Rana,1473469,92.6378359157544,69.44564702841204,6
N Rana,1473473,53.90308527192338,67.3734922674637,7
N Rana,1473479,46.417766187790455,63.840171333088286,8
N Rana,1473484,57.89204584012897,62.3712107607521,9
N Rana,1473487,41.897787586023455,58.08664090416376,10
N Saini,548331,48.41363119317237,48.41363119317237,1
N Saini,548334,42.45912900875494,45.27968267505794,2
N Saini,548339,27.8092444666343,38.79754278853764,3
N Saini,548343,52.56609423154072,42.77978214521653,4
N Saini,548350,33.640521508529154,40.491742728063784,5
N Saini,548354,30.615843712510923,38.243100574200646,6
N Saini,548359,48.17242315684648,40.146108026252065,7
N Saini,548366,25.760642150653236,37.32863129836336,8
N Saini,548369,46.19195627717381,38.76983075662946,9
N Saini,548371,45.01656371519515,39.78376386007503,10
N Thushara,1426276,77.33265945933698,77.33265945933698,1
N Thushara,1426281,42.78122177466784,59.147692256879544,2
N Thushara,1426286,58.86962797263197,58.97735375455652,3
N Thushara,1426289,37.264601266119485,52.53091337728189,4
N Thushara,1426293,49.136594596212575,51.52922225792384,5
N Thushara,1426298,50.5227725359491,51.13359801349947,6
N Thushara,1426305,52.25289243443457,51.176190966263334,7
N Thushara,1473507,60.01993093361333,52.68600570468624,8
N Wadhera,1473471,75.08293155771254,58.699313544295336,1
N Wadhera,1473474,48.59370276483513,57.84105092669945,2
N Wadhera,1473486,58.096804600756535,58.23892002010969,3
