team,player,matches
Delhi Capitals,MF Maharoof,20
Delhi Capitals,Y Nagar,20
Delhi Capitals,KP Pietersen,19
Delhi Capitals,MK Tiwary,19
Delhi Capitals,TA Boult,19
Delhi Capitals,LRPL Taylor,16
Delhi Capitals,NM Coulter-Nile,16
Delhi Capitals,AB Agarkar,15
Delhi Capitals,CA Ingram,15
Delhi Capitals,J Fraser-McGurk,15
Delhi Capitals,P Negi,15
Delhi Capitals,R Powell,15
Delhi Capitals,GD McGrath,14
Delhi Capitals,GJ Maxwell,14
Delhi Capitals,M Manhas,14
Delhi Capitals,SN Thakur,14
Delhi Capitals,V Nigam,14
Delhi Capitals,AD Mathews,13
Delhi Capitals,KL Rahul,13
Delhi Capitals,Mustafizur Rahman,13
Delhi Capitals,UBT Chand,13
Delhi Capitals,VY Mahesh,13
Delhi Capitals,Yuvraj Singh,13
Delhi Capitals,DL Vettori,12
Delhi Capitals,HV Patel,12
Delhi Capitals,MA Starc,12
Delhi Capitals,PJ Cummins,12
Delhi Capitals,R Tewatia,12
Delhi Capitals,CJ Anderson,11
Delhi Capitals,M Vijay,11
Delhi Capitals,S Kaul,11
Delhi Capitals,V Shankar,11
Delhi Capitals,VR Aaron,11
Delhi Capitals,CR Brathwaite,10
Delhi Capitals,J Yadav,10
Delhi Capitals,JD Unadkat,10
Delhi Capitals,RE van der Merwe,10
Delhi Capitals,SW Billings,10
Delhi Capitals,AM Rahane,9
Delhi Capitals,Aman Hakim Khan,9
Delhi Capitals,Ashutosh Sharma,9
Delhi Capitals,C Munro,9
Delhi Capitals,F du Plessis,9
Delhi Capitals,JR Hopes,9
Delhi Capitals,MK Pandey,9
Delhi Capitals,MM Sharma,9
Delhi Capitals,PD Salt,9
Delhi Capitals,RR Rossouw,9
Delhi Capitals,S Lamichhane,9
Delhi Capitals,SD Hope,9
Delhi Capitals,SN Khan,9
Delhi Capitals,AJ Finch,8
Delhi Capitals,BJ Rohrer,8
Delhi Capitals,KMA Paul,8
Delhi Capitals,Mohammad Asif,8
Delhi Capitals,Rasikh Salam,8
Delhi Capitals,WD Parnell,8
Delhi Capitals,AD Russell,7
Delhi Capitals,AM Salvi,7
Delhi Capitals,LE Plunkett,7
Delhi Capitals,MC Juneja,7
Delhi Capitals,PD Collingwood,7
Delhi Capitals,RV Patel,7
Delhi Capitals,SE Rutherford,7
Delhi Capitals,SPD Smith,7
Delhi Capitals,AB McDonald,6
Delhi Capitals,DJ Muthuswami,6
Delhi Capitals,J Botha,6
Delhi Capitals,PVD Chameera,6
Delhi Capitals,SS Tiwary,6
Delhi Capitals,Shoaib Malik,6
Delhi Capitals,AB Dinda,5
Delhi Capitals,C Sakariya,5
Delhi Capitals,JJ Roy,5
Delhi Capitals,LR Shukla,5
Delhi Capitals,MN Samuels,5
Delhi Capitals,S Ladda,5
Delhi Capitals,TR Birt,5
Delhi Capitals,TU Deshpande,5
Delhi Capitals,CM Gautam,4
Delhi Capitals,DT Christian,4
Delhi Capitals,JA Morkel,4
Delhi Capitals,JDS Neesham,4
Delhi Capitals,P Dubey,4
Delhi Capitals,Sameer Rizvi,4
Delhi Capitals,AP Tare,3
Delhi Capitals,AT Carey,3
Delhi Capitals,Abhishek Sharma,3
Delhi Capitals,BMAJ Mendis,3
Delhi Capitals,CR Woakes,3
Delhi Capitals,DR Sams,3
Delhi Capitals,Kumar Kushagra,3
Delhi Capitals,MS Wade,3
Delhi Capitals,Mandeep Singh,3
Delhi Capitals,R Shukla,3
Delhi Capitals,Sumit Kumar,3
Delhi Capitals,TK Curran,3
Delhi Capitals,YV Dhull,3
Delhi Capitals,B Geeves,2
Delhi Capitals,GH Vihari,2
Delhi Capitals,GS Sandhu,2
Delhi Capitals,Gulbadin Naib,2
Delhi Capitals,KS Bharat,2
Delhi Capitals,LB Williams,2
Delhi Capitals,M Tiwari,2
Delhi Capitals,PK Garg,2
Delhi Capitals,R Sharma,2
Delhi Capitals,RK Bhui,2
Delhi Capitals,T Natarajan,2
Delhi Capitals,TL Seifert,2
Delhi Capitals,AR Bawne,1
Delhi Capitals,B Chipli,1
Delhi Capitals,CJ Dala,1
Delhi Capitals,D Ferreira,1
Delhi Capitals,DAJ Bracewell,1
Delhi Capitals,J Suchith,1
Delhi Capitals,JA Richardson,1
Delhi Capitals,KL Nagarkoti,1
Delhi Capitals,LI Meriwala,1
Delhi Capitals,MC Henriques,1
Delhi Capitals,S Sriram,1
Delhi Capitals,Sediqullah Atal,1
Delhi Capitals,Sunny Gupta,1
Gujarat Lions,SK Raina,29
Gujarat Lions,KD Karthik,28
Gujarat Lions,BB McCullum,27
Gujarat Lions,RA Jadeja,27
Gujarat Lions,AJ Finch,25
Gujarat Lions,DR Smith,24
Gujarat Lions,P Kumar,22
Gujarat Lions,DS Kulkarni,20
Gujarat Lions,DJ Bravo,15
Gujarat Lions,Ishan Kishan,15
Gujarat Lions,JP Faulkner,15
Gujarat Lions,Basil Thampi,12
Gujarat Lions,S Kaushik,10
Gujarat Lions,SB Jakati,8
