match_id,innings,bowler,balls,runs_conceded,wickets,dot_balls,pp_balls,mid_balls,death_balls,overs,economy
1136570,2,Kuldeep Yadav,24,23,1,8,0,24,0,4.0,5.75
1136570,2,MG Johnson,18,30,1,9,15,0,7,3.0,10.0
1136570,2,PP Chawla,24,20,1,10,6,18,0,4.0,5.0
1136570,2,SP Narine,24,17,2,11,13,6,6,4.0,4.25
1136570,2,Shivam Mavi,6,10,0,1,0,6,0,1.0,10.0
1136571,1,CR Woakes,24,48,2,6,14,0,12,4.0,12.0
1136571,1,K Khejroliya,18,40,0,4,0,13,6,3.0,13.333333333333334
1136571,1,P Negi,6,13,0,2,0,6,0,1.0,13.0
1136571,1,UT Yadav,24,59,0,5,7,14,7,4.0,14.75
1136571,1,Washington Sundar,24,30,0,7,12,12,0,4.0,7.5
1136571,1,YS Chahal,24,27,2,10,6,19,0,4.0,6.75
1136571,2,B Laughlin,24,46,1,5,0,13,12,4.0,11.5
1136571,2,BA Stokes,18,33,1,6,7,7,6,3.0,11.0
1136571,2,DJM Short,6,10,1,1,0,6,0,1.0,10.0
1136571,2,DS Kulkarni,6,14,0,1,6,0,0,1.0,14.0
1136571,2,JD Unadkat,18,35,0,2,6,6,6,3.0,11.666666666666666
1136571,2,K Gowtham,24,36,1,8,18,6,0,4.0,9.0
1136571,2,S Gopal,24,24,2,9,0,24,0,4.0,6.0
1136572,1,DJ Bravo,24,37,1,4,0,12,12,4.0,9.25
1136572,1,DL Chahar,18,37,0,8,19,0,0,3.0,12.333333333333334
1136572,1,Harbhajan Singh,24,41,1,8,12,12,0,4.0,10.25
1136572,1,Imran Tahir,24,34,2,11,0,18,6,4.0,8.5
1136572,1,SN Thakur,18,33,2,4,6,6,6,3.0,11.0
1136572,1,SR Watson,12,15,1,3,0,12,0,2.0,7.5
1136572,2,AJ Tye,24,47,2,5,6,6,13,4.0,11.75
1136572,2,BB Sran,24,38,0,9,14,14,0,4.0,9.5
1136572,2,MM Sharma,24,47,1,8,12,0,13,4.0,11.75
1136572,2,Mujeeb Ur Rahman,18,18,0,5,6,12,0,3.0,6.0
1136572,2,R Ashwin,24,33,1,5,0,26,0,4.0,8.25
1136572,2,Yuvraj Singh,6,10,0,0,0,7,0,1.0,10.0
1136573,1,CH Morris,24,45,2,10,6,12,7,4.0,11.25
1136573,1,Mohammed Shami,24,53,1,5,0,19,6,4.0,13.25
1136573,1,R Tewatia,18,18,3,10,0,12,6,3.0,6.0
1136573,1,S Nadeem,24,43,1,7,12,12,0,4.0,10.75
1136573,1,TA Boult,24,29,2,13,18,0,6,4.0,7.25
1136573,1,V Shankar,6,12,0,2,0,6,0,1.0,12.0
1136573,2,AD Russell,12,25,1,5,15,0,0,2.0,12.5
1136573,2,Kuldeep Yadav,20,32,3,6,0,20,0,3.3333333333333335,9.6
1136573,2,PP Chawla,12,17,1,4,7,6,0,2.0,8.5
1136573,2,SP Narine,18,18,3,6,6,12,0,3.0,6.0
1136573,2,Shivam Mavi,12,16,1,4,13,0,0,2.0,8.0
1136573,2,TK Curran,12,21,1,4,0,12,0,2.0,10.5
1136574,1,CJ Anderson,24,47,2,10,0,18,8,4.0,11.75
1136574,1,CR Woakes,18,31,1,9,12,0,7,3.0,10.333333333333334
1136574,1,Mohammed Siraj,24,34,0,11,7,13,6,4.0,8.5
1136574,1,UT Yadav,24,37,2,9,12,6,7,4.0,9.25
1136574,1,Washington Sundar,12,32,0,2,7,6,0,2.0,16.0
1136574,1,YS Chahal,18,32,0,7,0,18,0,3.0,10.666666666666666
1136574,2,HH Pandya,6,4,0,2,0,6,0,1.0,4.0
1136574,2,JJ Bumrah,24,29,2,11,7,6,12,4.0,7.25
1136574,2,KH Pandya,24,28,3,9,6,19,0,4.0,7.0
1136574,2,M Markande,24,27,1,7,0,25,0,4.0,6.75
1136574,2,MJ McClenaghan,18,24,2,4,12,0,6,3.0,8.0
1136574,2,Mustafizur Rahman,24,55,0,3,12,6,7,4.0,13.75
1136575,1,Kuldeep Yadav,24,24,1,8,6,18,0,4.0,6.0
1136575,1,N Rana,12,11,2,4,0,12,0,2.0,5.5
1136575,1,PP Chawla,24,18,1,10,18,0,6,4.0,4.5
1136575,1,SP Narine,24,48,0,6,6,12,6,4.0,12.0
1136575,1,Shivam Mavi,24,40,1,9,6,12,9,4.0,10.0
1136575,1,TK Curran,12,19,2,3,0,6,7,2.0,9.5
1136575,2,B Laughlin,23,37,0,5,6,12,6,3.8333333333333335,9.652173913043478
1136575,2,BA Stokes,18,25,0,4,0,13,6,3.0,8.333333333333334
1136575,2,DS Kulkarni,12,20,0,5,12,0,0,2.0,10.0
1136575,2,JD Unadkat,18,34,0,4,6,6,6,3.0,11.333333333333334
1136575,2,K Gowtham,24,23,2,12,12,12,0,4.0,5.75
1136575,2,S Gopal,18,24,0,6,0,18,0,3.0,8.0
1136576,1,B Kumar,24,25,1,10,12,6,7,4.0,6.25
1136576,1,CJ Jordan,24,35,0,10,12,6,7,4.0,8.75
1136576,1,DJ Hooda,12,17,0,4,0,13,0,2.0,8.5
1136576,1,Rashid Khan,24,55,1,8,6,12,6,4.0,13.75
1136576,1,S Kaul,24,33,1,4,6,12,6,4.0,8.25
1136576,1,Shakib Al Hasan,12,28,0,2,0,12,0,2.0,14.0
1136576,2,AJ Tye,24,24,2,9,6,12,6,4.0,6.0
1136576,2,BB Sran,24,22,0,11,19,0,9,4.0,5.5
1136576,2,MM Sharma,24,52,2,3,12,6,7,4.0,13.0
1136576,2,Mujeeb Ur Rahman,24,27,0,5,0,25,0,4.0,6.75
1136576,2,R Ashwin,24,53,0,1,0,21,7,4.0,13.25
1136577,1,B Laughlin,24,38,2,5,6,7,14,4.0,9.5
1136577,1,BA Stokes,18,39,0,4,12,0,6,3.0,13.0
1136577,1,JD Unadkat,24,39,0,8,6,12,6,4.0,9.75
1136577,1,K Gowtham,18,35,0,3,6,12,0,3.0,11.666666666666666
1136577,1,S Gopal,24,20,3,12,0,25,0,4.0,5.0
1136577,1,STR Binny,12,33,0,2,7,7,0,2.0,16.5
1136577,2,DJ Bravo,12,16,2,2,0,14,0,2.0,8.0
1136577,2,DL Chahar,24,30,2,9,20,8,0,4.0,7.5
1136577,2,Imran Tahir,24,44,1,4,0,25,0,4.0,11.0
1136577,2,KV Sharma,9,13,2,2,0,0,9,1.5,8.666666666666666
1136577,2,RA Jadeja,6,6,0,1,0,0,6,1.0,6.0
1136577,2,SN Thakur,18,18,2,9,12,6,0,3.0,6.0
1136577,2,SR Watson,18,13,1,9,6,13,0,3.0,4.333333333333333
1136578,1,AJ Tye,24,30,2,9,7,12,7,4.0,7.5
1136578,1,AS Rajpoot,18,33,0,5,12,0,8,3.0,11.0
1136578,1,BB Sran,24,50,2,7,6,6,14,4.0,12.5
1136578,1,Mujeeb Ur Rahman,24,32,1,9,13,12,0,4.0,8.0
