player,player_name,impact_metric_last10,matches_available,last_match_id,team
KH Pandya,KH Pandya,56.59,142,1473511,Mumbai Indians
RN ten Doeschate,RN ten Doeschate,56.56,23,829781,Kolkata Knight Riders
C Sakariya,C Sakariya,56.56,20,1473481,Delhi Capitals
Bipul Sharma,Bipul Sharma,56.56,29,1082648,Sunrisers Hyderabad
Nithish Kumar Reddy,Nithish Kumar Reddy,56.5,25,1473505,Sunrisers Hyderabad
SW Tait,SW Tait,56.46,21,598049,Rajasthan Royals
AM Salvi,AM Salvi,56.43,7,501257,Delhi Daredevils
DR Smith,DR Smith,56.4,91,1082643,Gujarat Lions
A Ashish Reddy,A Ashish Reddy,56.29,28,980953,Sunrisers Hyderabad
GJ Maxwell,GJ Maxwell,56.24,140,1473481,Kings XI Punjab
KD Karthik,KD Karthik,56.18,233,1426310,Gujarat Lions
AC Thomas,AC Thomas,56.14,15,548362,Pune Warriors
Anand Rajan,Anand Rajan,56.06,8,598069,Sunrisers Hyderabad
Shakib Al Hasan,Shakib Al Hasan,56.06,71,1254117,Kolkata Knight Riders
MA Agarwal,MA Agarwal,56.0,125,1473511,Delhi Daredevils
RS Sodhi,RS Sodhi,56.0,1,419146,Kings XI Punjab
A Badoni,A Badoni,55.98,48,1473507,Lucknow Super Giants
Z Khan,Z Khan,55.92,99,1082646,Delhi Daredevils
Sediqullah Atal,Sediqullah Atal,55.89,1,1485779,Delhi Capitals
SZ Mulani,SZ Mulani,55.77,2,1422126,Mumbai Indians
NJ Rimmington,NJ Rimmington,55.69,1,501202,Kings XI Punjab
SM Pollock,SM Pollock,55.67,13,336036,Mumbai Indians
PJ Cummins,PJ Cummins,55.65,72,1473505,Kolkata Knight Riders
PHKD Mendis,PHKD Mendis,55.62,5,1473499,Sunrisers Hyderabad
Shashank Singh,Shashank Singh,55.6,34,1485779,Punjab Kings
TH David,TH David,55.45,44,1473503,Royal Challengers Bengaluru
P Chopra,P Chopra,55.4,1,1136603,Rajasthan Royals
ST Jayasuriya,ST Jayasuriya,55.23,30,419150,Mumbai Indians
AJ Finch,AJ Finch,55.1,90,1304099,Gujarat Lions
B Laughlin,B Laughlin,55.07,9,1136618,Chennai Super Kings
GD Phillips,GD Phillips,55.07,8,1359543,Sunrisers Hyderabad
Abdul Samad,Abdul Samad,55.05,51,1473507,Lucknow Super Giants
RG Sharma,RG Sharma,54.97,266,1473510,Mumbai Indians
KL Rahul,KL Rahul,54.95,135,1485779,Royal Challengers Bangalore
D Wiese,D Wiese,54.67,18,1359513,Royal Challengers Bangalore
Iqbal Abdulla,Iqbal Abdulla,54.64,48,1082598,Royal Challengers Bangalore
J Fraser-McGurk,J Fraser-McGurk,54.55,15,1473469,Delhi Capitals
Harmeet Singh,Harmeet Singh,54.54,27,598059,Kings XI Punjab
LS Livingstone,LS Livingstone,54.52,48,1473511,Royal Challengers Bengaluru
J Theron,J Theron,54.44,10,829769,Rajasthan Royals
SK Trivedi,SK Trivedi,54.44,76,598072,Rajasthan Royals
MJ Guptill,MJ Guptill,54.44,13,1181766,Mumbai Indians
Sameer Rizvi,Sameer Rizvi,54.43,9,1485779,Delhi Capitals
J Yadav,J Yadav,54.39,20,1359504,Delhi Daredevils
DS Rathi,DS Rathi,54.32,13,1473507,Lucknow Super Giants
Sunny Singh,Sunny Singh,54.31,5,501244,Kings XI Punjab
C Munro,C Munro,54.29,12,1181767,Kolkata Knight Riders
VS Malik,VS Malik,54.09,13,734033,Rajasthan Royals
DP Conway,DP Conway,54.06,28,1473504,Chennai Super Kings
C Green,C Green,54.06,29,1426310,Royal Challengers Bengaluru
CR Brathwaite,CR Brathwaite,54.04,16,1178418,Delhi Daredevils
AD Hales,AD Hales,54.02,6,1136611,Sunrisers Hyderabad
DJM Short,DJM Short,54.01,7,1136607,Rajasthan Royals
DP Vijaykumar,DP Vijaykumar,53.97,9,336037,Deccan Chargers
AC Blizzard,AC Blizzard,53.94,7,548342,Mumbai Indians
GHS Garton,GHS Garton,53.88,5,1254115,Royal Challengers Bangalore
P Sahu,P Sahu,53.87,5,980941,Kings XI Punjab
DA Warner,DA Warner,53.82,184,1426300,Sunrisers Hyderabad
AA Kulkarni,AA Kulkarni,53.79,2,1426292,Lucknow Super Giants
SR Tendulkar,SR Tendulkar,53.73,78,598060,Mumbai Indians
CH Gayle,CH Gayle,53.71,141,1254107,Royal Challengers Bangalore
R Tewatia,R Tewatia,53.71,90,1473509,Rajasthan Royals
MJ McClenaghan,MJ McClenaghan,53.69,56,1181768,Mumbai Indians
R Rampaul,R Rampaul,53.47,12,734035,Royal Challengers Bangalore
Liton Das,Liton Das,53.47,1,1359502,Kolkata Knight Riders
SV Samson,SV Samson,53.41,171,1473500,Delhi Daredevils
JE Taylor,JE Taylor,53.41,5,501241,Pune Warriors
A Kamboj,A Kamboj,53.38,11,1473504,Chennai Super Kings
Tilak Varma,Tilak Varma,53.36,51,1473510,Mumbai Indians
Arjun Tendulkar,Arjun Tendulkar,53.27,5,1426305,Mumbai Indians
E Lewis,E Lewis,53.2,26,1312198,Lucknow Super Giants
Misbah-ul-Haq,Misbah-ul-Haq,53.19,8,336034,Royal Challengers Bangalore
AB McDonald,AB McDonald,53.13,10,598017,Royal Challengers Bangalore
Jalaj S Saxena,Jalaj S Saxena,53.05,1,1254068,Punjab Kings
RR Pant,RR Pant,52.98,123,1473507,Delhi Daredevils
SK Raina,SK Raina,52.96,200,1254113,Gujarat Lions
CJ Green,CJ Green,52.94,1,1216526,Kolkata Knight Riders
HF Gurney,HF Gurney,52.92,8,1178431,Kolkata Knight Riders
T Taibu,T Taibu,52.88,3,336017,Kolkata Knight Riders
P Suyal,P Suyal,52.87,5,829729,Mumbai Indians
RD Rickelton,RD Rickelton,52.84,14,1473506,Mumbai Indians
V Nigam,V Nigam,52.79,14,1485779,Delhi Capitals
CRD Fernando,CRD Fernando,52.77,10,419165,Mumbai Indians
Mustafizur Rahman,Mustafizur Rahman,52.72,60,1485779,Delhi Capitals
N Thushara,N Thushara,52.69,8,1473507,Royal Challengers Bengaluru
RD Gaikwad,RD Gaikwad,52.69,70,1473459,Chennai Super Kings
N Wadhera,N Wadhera,52.69,31,1485779,Punjab Kings
SB Dubey,SB Dubey,52.63,11,1473497,Rajasthan Royals
Ishan Kishan,Ishan Kishan,52.62,112,1473505,Gujarat Lions
CK Langeveldt,CK Langeveldt,52.56,7,501260,Royal Challengers Bangalore
SO Hetmyer,SO Hetmyer,52.27,78,1473500,Rajasthan Royals
AC Gilchrist,AC Gilchrist,52.26,80,598066,Kings XI Punjab
HV Patel,HV Patel,52.26,117,1473505,Royal Challengers Bangalore
DJ Bravo,DJ Bravo,52.12,160,1304105,Gujarat Lions
RS Hangargekar,RS Hangargekar,52.09,2,1359480,Chennai Super Kings
JP Behrendorff,JP Behrendorff,52.03,17,1370352,Mumbai Indians
S Dhawan,S Dhawan,52.03,221,1426261,Sunrisers Hyderabad
Mohammad Nabi,Mohammad Nabi,52.02,24,1426286,Mumbai Indians
RA Bawa,RA Bawa,52.01,3,1473510,Mumbai Indians
DJ Willey,DJ Willey,51.95,11,1359510,Royal Challengers Bangalore
NM Coulter-Nile,NM Coulter-Nile,51.89,38,1304051,Delhi Daredevils
JA Morkel,JA Morkel,51.85,90,980949,Rising Pune Supergiants
DAJ Bracewell,DAJ Bracewell,51.79,1,548310,Delhi Daredevils
R Ravindra,R Ravindra,51.7,18,1473475,Chennai Super Kings
B Lee,B Lee,51.68,38,598040,Kolkata Knight Riders
K Gowtham,K Gowtham,51.67,36,1426295,Lucknow Super Giants
LA Carseldine,LA Carseldine,51.66,5,392220,Rajasthan Royals
Yuvraj Singh,Yuvraj Singh,51.62,129,1175370,Sunrisers Hyderabad
S Vidyut,S Vidyut,51.61,8,336040,Chennai Super Kings
UT Khawaja,UT Khawaja,51.55,6,981005,Rising Pune Supergiants
AN Ghosh,AN Ghosh,51.53,2,392221,Kolkata Knight Riders
Imran Tahir,Imran Tahir,51.5,59,1254076,Delhi Daredevils
JM Kemp,JM Kemp,51.5,5,419159,Chennai Super Kings
HM Amla,HM Amla,51.48,16,1082637,Kings XI Punjab
